Month,Qualifying vs Actual Income Difference,Qualifying vs Actual Income Percent Difference,Annual Payment Share of Income,Affordability Index,Change in Affordability
2005-01,13274.46988,0.290428683,0.387167322,77.49362776,
2005-02,12215.42077,0.266534166,0.37999825,78.95562761,
2005-03,14226.89834,0.309585071,0.392914813,76.36006414,
2005-04,14593.13565,0.316699147,0.395049249,75.94749357,
2005-05,15374.25482,0.333010122,0.399943031,75.01818502,
2005-06,16118.83327,0.3484686,0.404581038,74.15819692,
2005-07,17809.39171,0.384279678,0.415325436,72.23973711,
2005-08,19383.42681,0.416765641,0.425072199,70.58330406,
2005-09,19085.1403,0.408907562,0.42271454,70.97697724,
2005-10,20293.30495,0.433267773,0.430023334,69.77063317,
2005-11,21403.01932,0.454718759,0.436459274,68.74180965,
2005-12,21227.25158,0.448782867,0.434678328,69.02345569,
2006-01,20036.01964,0.421540178,0.426504704,70.34623541,-7.147392344
2006-02,19518.03799,0.408745534,0.422665927,70.98514072,-7.970486887
2006-03,19119.95578,0.398567927,0.419612339,71.5017112,-4.858352948
2006-04,20067.40784,0.416403647,0.42496359,70.6013432,-5.346150371
2006-05,21173.28339,0.437522809,0.431299973,69.56411361,-5.454071416
2006-06,22018.62572,0.453105628,0.435975286,68.81812172,-5.340075199
2006-07,22458.54823,0.460251426,0.43811924,68.48135756,-3.758379551
2006-08,20794.57134,0.424732835,0.427462597,70.18859783,-0.394706228
2006-09,19032.99922,0.387463061,0.416280546,72.07399088,1.097013638
2006-10,18255.84015,0.370413569,0.411165187,72.97067271,3.200039534
2006-11,17379.00202,0.351178047,0.405393953,74.00949137,5.267681728
2006-12,17362.29678,0.349409292,0.404863274,74.10650025,5.08304456
2007-01,17610.5947,0.352966324,0.40593049,73.91166965,3.565434231
2007-02,17408.88436,0.347232359,0.404210129,74.22624565,3.241104928
2007-03,16110.96251,0.319794462,0.395977936,75.76937386,4.267662662
2007-04,15996.36457,0.315995611,0.394838167,75.98809539,5.386752184
2007-05,16387.17194,0.322648348,0.396834188,75.60588582,6.041772217
2007-06,18433.75358,0.361750894,0.408566125,73.43487008,4.61674836
2007-07,18640.63876,0.364612637,0.409424734,73.28086908,4.799511527
2007-08,17902.6323,0.349730779,0.40495973,74.0888491,3.900251265
2007-09,15573.19915,0.303837618,0.391190405,76.69666728,4.622676398
2007-10,14184.07242,0.276383487,0.382953341,78.34635986,5.375687157
2007-11,12352.70256,0.240408675,0.372159818,80.61859131,6.609099936
2007-12,11770.92638,0.228810748,0.368680092,81.37949654,7.27299629
2008-01,9511.652906,0.184671563,0.355437013,84.41158132,10.49991168
2008-02,8821.77397,0.170634971,0.351225614,85.42372513,11.19747949
2008-03,7737.498696,0.149103178,0.34476543,87.02438728,11.25501342
2008-04,7122.86772,0.136748147,0.34105855,87.9702336,11.98213821
2008-05,8083.216654,0.15495488,0.346521116,86.58346898,10.97758315
2008-06,9837.275724,0.188300429,0.356525781,84.15380286,10.71893278
2008-07,10354.90264,0.197915071,0.359410462,83.47837209,10.19750301
2008-08,10078.18765,0.192770022,0.357866793,83.83845854,9.749609445
2008-09,6550.945542,0.125396524,0.337652722,88.85756967,12.16090239
2008-10,6341.074973,0.121470016,0.336474652,89.16867909,10.82231922
2008-11,4929.409668,0.095060706,0.328551067,91.31913824,10.70054694
2008-12,1160.480895,0.022530121,0.306789715,97.79663005,16.41713351
2009-01,-1024.535501,-0.020025885,0.294021637,102.0435116,17.63193032
2009-02,-1408.56911,-0.027669377,0.29172836,102.8456757,17.42195061
2009-03,-2662.977767,-0.052572185,0.28425677,105.5489383,18.52455098
2009-04,-3299.733438,-0.065470473,0.280386897,107.0057147,19.03548115
2009-05,-2472.347084,-0.049275329,0.285245926,105.1829231,18.59945415
2009-06,848.8588858,0.016994872,0.305128974,98.32891275,14.17510989
2009-07,1149.03459,0.023109295,0.306963485,97.7412682,14.26289611
2009-08,1242.249781,0.025004214,0.307532017,97.5605745,13.72211596
2009-09,248.0470845,0.00499677,0.301529184,99.50280734,10.64523767
2009-10,-782.4304597,-0.015774378,0.295297216,101.6027197,12.43404065
2009-11,-1586.550634,-0.031977113,0.29043591,103.3033426,11.9842044
2009-12,-1011.314501,-0.020377476,0.293916149,102.0801355,4.283505459
2010-01,-803.5015807,-0.016185636,0.295173827,101.6451921,-0.398319578
2010-02,-1414.031905,-0.028408828,0.291506502,102.9239488,0.078273035
2010-03,-2313.135847,-0.04634996,0.286123624,104.8602693,-0.688668981
2010-04,-1937.309739,-0.038717242,0.288413669,104.0276643,-2.978050489
2010-05,-2164.173315,-0.043187369,0.287072497,104.5136704,-0.669252715
2010-06,-1652.538511,-0.032928852,0.290150359,103.4050082,5.076095489
2010-07,-1481.069866,-0.029468755,0.291188492,103.0363531,5.295084854
2010-08,-1614.269897,-0.032122064,0.29039242,103.3188135,5.758239001
2010-09,-2589.658827,-0.051536022,0.28456765,105.4336299,5.930822541
2010-10,-3576.34074,-0.071178411,0.278674344,107.6633028,6.060583046
2010-11,-3795.160368,-0.075476378,0.277384825,108.1638129,4.860470227
2010-12,-2240.44621,-0.044523287,0.286671681,104.6597982,2.579662679
2011-01,-2827.613368,-0.056149351,0.283183513,105.9489656,4.303773574
2011-02,-2832.968992,-0.056236615,0.283157331,105.9587622,3.034813384
2011-03,-4003.419496,-0.079444008,0.276194417,108.6300028,3.769733497
2011-04,-3830.702701,-0.075990838,0.277230472,108.2240351,4.196370861
2011-05,-4067.531012,-0.080587297,0.275851396,108.7650842,4.25141377
2011-06,-3667.918545,-0.072578673,0.278254224,107.8258576,4.420849395
2011-07,-3027.806006,-0.059837259,0.28207703,106.364564,3.328210936
2011-08,-3924.376285,-0.077536499,0.276766727,108.4053731,5.08655962
2011-09,-5298.504284,-0.104660008,0.268628861,111.689415,6.255785137
2011-10,-6133.191916,-0.121117244,0.263691196,113.7808192,6.117516436
2011-11,-6906.879846,-0.136174129,0.259173679,115.7640717,7.600258808
2011-12,-7008.826409,-0.137959763,0.258637935,116.0038659,11.34406767
2012-01,-7714.312672,-0.151600261,0.254545376,117.868966,11.92000032
2012-02,-8490.279855,-0.166587297,0.250048816,119.9885719,14.02980971
2012-03,-8456.885466,-0.165671789,0.250323496,119.8569085,11.2269057
2012-04,-7747.313292,-0.15153346,0.254565419,117.859686,9.63565084
2012-05,-6848.846757,-0.133731999,0.259906391,115.4377167,6.672632484
2012-06,-6119.070242,-0.119279292,0.264242637,113.5433732,5.717515579
2012-07,-5900.361121,-0.114820964,0.265580269,112.971496,6.606932054
2012-08,-5620.006303,-0.108872983,0.267364842,112.2174483,3.812075166
2012-09,-6538.256963,-0.126094117,0.262197985,114.4287983,2.739383287
2012-10,-7452.826762,-0.143090931,0.25709843,116.6984965,2.917677321
2012-11,-7610.534875,-0.146074021,0.256203414,117.106169,1.342097282
2012-12,-7286.125106,-0.139804512,0.258084455,116.2526442,0.248778323
2013-01,-7766.382409,-0.148973882,0.255333369,117.5052069,-0.363759108
2013-02,-8183.695925,-0.156722212,0.253008637,118.5848856,-1.403686263
2013-03,-8493.163129,-0.162383313,0.251310137,119.3863513,-0.470557177
2013-04,-7817.228648,-0.149216472,0.255260584,117.5387119,-0.320974008
2013-05,-5718.134562,-0.109337643,0.26722543,112.2759923,-3.161724355
2013-06,-2003.517829,-0.038376135,0.288516011,103.9907635,-9.552609666
2013-07,547.9979794,0.010514799,0.303184758,98.95946118,-14.01203486
2013-08,951.2688131,0.018224028,0.305497758,98.2102143,-14.00723399
2013-09,315.3767945,0.006032412,0.301839908,99.40037594,-15.02842237
2013-10,-1752.185949,-0.033462834,0.289990149,103.4621363,-13.23636022
2013-11,-2015.25808,-0.038389558,0.288511984,103.9922152,-13.11395373
2013-12,-1029.973628,-0.01957092,0.29415814,101.9961587,-14.25648549
2014-01,-1814.033818,-0.034382384,0.289714256,103.5606624,-13.94454443
2014-02,-2934.035408,-0.055410868,0.28340508,105.8661345,-12.71875116
2014-03,-3199.405925,-0.060206523,0.28196624,106.4063567,-12.97999457
2014-04,-2536.547921,-0.0475628,0.285759736,104.9937991,-12.54491285
2014-05,-2181.218592,-0.040731836,0.28780923,104.2461365,-8.029855793
2014-06,-1202.587537,-0.02236502,0.293319826,102.2876657,-1.703097888
2014-07,-560.0830961,-0.010373615,0.296917607,101.0482355,2.088774318
2014-08,-344.0662716,-0.006350896,0.298124544,100.6391488,2.428934476
2014-09,-806.2446412,-0.014831328,0.29558016,101.5054608,2.105084859
2014-10,-2154.814668,-0.039504671,0.288177416,104.1129477,0.650811414
2014-11,-2803.925262,-0.051240544,0.284656302,105.400794,1.408578786
2014-12,-3170.656835,-0.057757682,0.282700966,106.1298119,4.133653201
2015-01,-4542.687057,-0.082488036,0.275281117,108.9904043,5.429741917
2015-02,-4803.540747,-0.086986165,0.273931544,109.5273655,3.661231081
2015-03,-4686.015175,-0.084626467,0.274639524,109.2450201,2.838663404
2015-04,-4123.31332,-0.074261874,0.277749213,108.0219094,3.028110326
2015-05,-2106.533215,-0.037830402,0.288679747,103.931781,-0.31435548
2015-06,-396.2519149,-0.007095789,0.297901054,100.7146499,-1.573015804
2015-07,509.3133267,0.00909441,0.302758599,99.0987553,-1.949480197
2015-08,-427.883202,-0.007617733,0.297744454,100.7676209,0.128472084
2015-09,-1182.300767,-0.020986661,0.293733375,102.1436543,0.63819347
2015-10,-2306.546739,-0.040822189,0.287782122,104.2559563,0.14300859
2015-11,-1824.299019,-0.032206635,0.290367046,103.3278421,-2.072951877
2015-12,-1334.359279,-0.023498499,0.292979748,102.4063966,-3.723415298
2016-01,-2121.824329,-0.037273267,0.288846905,103.8716352,-5.118769165
2016-02,-3657.458939,-0.064111084,0.280794754,106.8502878,-2.677077708
2016-03,-3996.437647,-0.069902763,0.279057077,107.5156403,-1.729379839
2016-04,-3766.786439,-0.065744879,0.280304567,107.0371441,-0.984765339
2016-05,-2795.671587,-0.048653849,0.285432388,105.114211,1.182429939
2016-06,-1811.361351,-0.031432572,0.290599288,103.2452642,2.530614312
2016-07,-1839.531112,-0.031829465,0.290480208,103.2875887,4.188833423
2016-08,-1754.038878,-0.030234892,0.290958628,103.1177542,2.350133335
2016-09,-2406.561214,-0.041325622,0.287631077,104.3107047,2.16705046
2016-10,-2947.277848,-0.050420025,0.284902483,105.3097186,1.053762305
2016-11,-1988.712811,-0.033854582,0.289872613,103.5040876,0.176245459
2016-12,150.4194585,0.00254814,0.300794521,99.74583366,-2.660562927
2017-01,-793.4535459,-0.01337596,0.296016814,101.3557302,-2.515904946
2017-02,-1595.528148,-0.026757654,0.292001904,102.7493311,-4.100956758
2017-03,-2129.080066,-0.035521178,0.289372584,103.6829401,-3.832700168
2017-04,-2334.459683,-0.038747627,0.288404552,104.0309526,-3.006191514
2017-05,-1532.311379,-0.025354915,0.292422768,102.6014511,-2.512759869
2017-06,-891.106581,-0.014699594,0.295619684,101.4918896,-1.753374605
2017-07,-85.60455146,-0.001407788,0.299607624,100.1409772,-3.146611475
2017-08,-580.2628148,-0.009534143,0.297169474,100.9625918,-2.155162407
2017-09,-1766.766199,-0.029003667,0.291328033,102.9870007,-1.323704064
2017-10,-1911.638762,-0.031354285,0.290622777,103.2369198,-2.072798849
2017-11,-1834.974805,-0.030069188,0.291008344,103.1001374,-0.403950177
2017-12,-1398.304532,-0.022892554,0.29316155,102.3428902,2.597056503
2018-01,-1118.891072,-0.018301284,0.294539069,101.8642465,0.508516237
2018-02,312.2998219,0.005102827,0.301561004,99.49230798,-3.257023085
2018-03,1028.688964,0.016790708,0.305067719,98.34865648,-5.334283657
2018-04,2129.026311,0.034714606,0.310445426,96.64500666,-7.385945909
2018-05,3432.756468,0.055762184,0.316760331,94.7183007,-7.883150405
2018-06,4128.999,0.066821043,0.320078321,93.73643371,-7.755455852
2018-07,4033.275326,0.065028558,0.319540521,93.89419588,-6.246781366
2018-08,3642.041572,0.058333509,0.317531806,94.48817326,-6.474418523
2018-09,2838.60238,0.045167245,0.313581532,95.6784672,-7.308533461
2018-10,2942.617052,0.046517596,0.313986677,95.55501064,-7.681909144
2018-11,2622.211953,0.04116364,0.31238033,96.04638134,-7.053756074
2018-12,1322.233966,0.020612841,0.306214474,97.98034671,-4.362543454
2019-01,-255.5157779,-0.003955958,0.298843097,100.3971669,-1.467079536
2019-02,-1489.681236,-0.022918578,0.293153742,102.345616,2.853308036
2019-03,-2445.611796,-0.037390342,0.288811779,103.8842683,5.535611864
2019-04,-2622.483739,-0.039845499,0.288075158,104.149905,7.504898313
2019-05,-1812.415548,-0.027463087,0.291790253,102.8238607,8.10555995
2019-06,-2053.993804,-0.031039805,0.29071713,103.2034138,9.466980125
2019-07,-1679.228447,-0.025308189,0.292436787,102.5965324,8.702336534
2019-08,-2507.792545,-0.03784533,0.288675268,103.9333936,9.445220332
2019-09,-3081.777817,-0.046568492,0.286058058,104.8843038,9.205836625
2019-10,-2928.104144,-0.044304544,0.286737311,104.6358433,9.080832678
2019-11,-2913.299531,-0.044115687,0.286793973,104.6151701,8.568788753
2019-12,-2156.424262,-0.032680489,0.290224876,103.3784586,5.398111894
2020-01,-3060.962358,-0.046425762,0.286100882,104.8686049,4.471437925
2020-02,-4463.435011,-0.06719061,0.279870804,107.2030374,4.857421407
2020-03,-4851.256372,-0.072486348,0.278281924,107.8151247,3.930856325
2020-04,-5082.452343,-0.075381,0.277413441,108.1526553,4.002750304
2020-05,-5241.822174,-0.077508692,0.27677507,108.4021054,5.57824478
2020-06,-5283.340574,-0.077886158,0.276661819,108.4464797,5.243065864
2020-07,-5082.837405,-0.074704269,0.277616481,108.073556,5.477023632
2020-08,-4021.481304,-0.059126817,0.282290184,106.2842494,2.350855792
2020-09,-3204.047104,-0.047125573,0.285890917,104.9456226,0.061318733
2020-10,-3398.434265,-0.050002991,0.285027606,105.2634893,0.627645964
2020-11,-3903.966957,-0.057161405,0.282879866,106.0626925,1.447522425
2020-12,-4812.875537,-0.070127983,0.278989504,107.5416812,4.163222606
2021-01,-5107.763657,-0.074065792,0.277808043,107.999034,3.130429116
2021-02,-4688.019365,-0.067989889,0.279630996,107.2949734,0.091935949
2021-03,-2109.780963,-0.030602745,0.290848261,103.1568838,-4.65824089
2021-04,-423.3774065,-0.006142127,0.298187181,100.6180086,-7.534646723
2021-05,351.5877483,0.005065318,0.30154975,99.496021,-8.90608443
2021-06,1411.740335,0.020199031,0.306090318,98.02008914,-10.42639056
